time, interval
0:0:1.63499999046325683594 ,46
0:0:2.45000004768371582031 ,45
0:0:3.25999999046325683594 ,45
0:0:4.05000019073486328125 ,45
0:0:4.82499980926513671875 ,45
0:0:5.58500003814697265625 ,45
0:0:6.33500003814697265625 ,45
0:0:7.09999990463256835938 ,49
0:0:7.88999986648559570312 ,48
0:0:8.69999980926513671875 ,47
0:0:9.53499984741210937500 ,47
0:0:10.36999988555908203125 ,46
0:0:11.19499969482421875000 ,46
0:0:12.00500011444091796875 ,45
0:0:12.80000019073486328125 ,45
0:0:13.57499980926513671875 ,45
0:0:14.35499954223632812500 ,45
0:0:15.11499977111816406250 ,45
0:0:15.88000011444091796875 ,45
0:0:16.63999938964843750000 ,49
0:0:17.40999984741210937500 ,46
0:0:18.18498992919921875000 ,49
0:0:18.97500038146972656250 ,49
0:0:19.78499984741210937500 ,49
0:0:20.61499977111816406250 ,49
0:0:21.43499946594238281250 ,49
0:0:22.24500083923339843750 ,49
0:0:23.06500053405761718750 ,49
0:0:23.89500045776367187500 ,49
0:0:24.71999931335449218750 ,49
0:0:25.54500007629394531250 ,49
0:0:26.36499977111816406250 ,49
0:0:27.18000030517578125000 ,48
0:0:28.00000000000000000000 ,48
0:0:28.81999969482421875000 ,47
0:0:29.63500022888183593750 ,46
0:0:30.45999908447265625000 ,46
0:0:31.28000068664550781250 ,46
0:0:32.09500122070312500000 ,45
0:0:32.88000106811523437500 ,45
0:0:33.65499877929687500000 ,45
0:0:34.43000030517578125000 ,45
0:0:35.19499969482421875000 ,45
0:0:35.95500183105468750000 ,45
0:0:36.71500015258789062500 ,45
0:0:37.47499847412109375000 ,45
0:0:38.22999954223632812500 ,45
0:0:38.97499847412109375000 ,44
0:0:39.74000167846679687500 ,44
0:0:40.49499130249023437500 ,44
0:0:41.25000000000000000000 ,44
0:0:42.00000000000000000000 ,44
0:0:42.74000167846679687500 ,43
0:0:43.48500061035156250000 ,43
0:0:44.22000122070312500000 ,43
0:0:44.95500183105468750000 ,43
0:0:45.68500137329101562500 ,43
0:0:46.41500091552734375000 ,44
0:0:47.15499877929687500000 ,44
0:0:47.88999938964843750000 ,44
0:0:48.63000106811523437500 ,44
0:0:49.36500167846679687500 ,44
0:0:50.10499954223632812500 ,48
0:0:50.86000061035156250000 ,45
0:0:51.62500000000000000000 ,48
0:0:52.41500091552734375000 ,48
0:0:53.22499847412109375000 ,48
0:0:54.04999923706054687500 ,47
0:0:54.86000061035156250000 ,47
0:0:55.65000152587890625000 ,47
0:0:56.43999862670898437500 ,47
0:0:57.23500061035156250000 ,48
0:0:58.03499984741210937500 ,48
0:0:58.84999847412109375000 ,48
0:0:59.69499969482421875000 ,48
0:1:0.51999998092651367188 ,48
0:1:1.32000005245208740234 ,48
0:1:2.13000011444091796875 ,48
0:1:2.93499994277954101562 ,49
0:1:3.76500010490417480469 ,49
0:1:4.61499023437500000000 ,49
0:1:5.45499992370605468750 ,49
0:1:6.30499982833862304688 ,49
0:1:7.15500020980834960938 ,49
0:1:7.98500013351440429688 ,49
0:1:8.80500030517578125000 ,49
0:1:9.61999988555908203125 ,51
0:1:10.43999958038330078125 ,49
0:1:11.27000045776367187500 ,51
0:1:12.10999965667724609375 ,51
0:1:12.97500038146972656250 ,51
0:1:13.82999992370605468750 ,51
0:1:14.68000030517578125000 ,51
0:1:15.53999996185302734375 ,52
0:1:16.42000007629394531250 ,52
0:1:17.30500030517578125000 ,48
0:1:18.15999984741210937500 ,48
0:1:18.97500038146972656250 ,48
0:1:19.79000091552734375000 ,49
0:1:20.61000061035156250000 ,49
0:1:21.44000053405761718750 ,49
0:1:22.27000045776367187500 ,49
0:1:23.10000038146972656250 ,50
0:1:23.93499946594238281250 ,50
0:1:24.77499961853027343750 ,50
0:1:25.62999916076660156250 ,47
0:1:26.45499992370605468750 ,47
0:1:27.25000000000000000000 ,47
0:1:28.04500007629394531250 ,48
0:1:28.85000038146972656250 ,48
0:1:29.65999984741210937500 ,48
0:1:30.47500038146972656250 ,48
0:1:31.28000068664550781250 ,48
0:1:32.09500122070312500000 ,49
0:1:32.92499923706054687500 ,49
0:1:33.75000000000000000000 ,49
0:1:34.56000137329101562500 ,49
0:1:35.38999938964843750000 ,49
0:1:36.20999908447265625000 ,49
0:1:37.04999923706054687500 ,47
0:1:37.88000106811523437500 ,47
0:1:38.66999816894531250000 ,47
0:1:39.45500183105468750000 ,47
0:1:40.24000167846679687500 ,47
0:1:41.02999877929687500000 ,51
0:1:41.84999847412109375000 ,49
0:1:42.68999862670898437500 ,50
0:1:43.53499984741210937500 ,49
0:1:44.38999938964843750000 ,49
0:1:45.25000000000000000000 ,49
0:1:46.09500122070312500000 ,50
0:1:46.94499969482421875000 ,49
0:1:47.77999877929687500000 ,49
0:1:48.60499954223632812500 ,49
0:1:49.43500137329101562500 ,51
0:1:50.28499984741210937500 ,51
0:1:51.13999938964843750000 ,51
0:1:51.99000167846679687500 ,51
0:1:52.83000183105468750000 ,51
0:1:53.68500137329101562500 ,51
0:1:54.55500030517578125000 ,47
0:1:55.39500045776367187500 ,47
0:1:56.20000076293945312500 ,47
0:1:56.99000167846679687500 ,47
0:1:57.77999877929687500000 ,51
0:1:58.58000183105468750000 ,48
0:1:59.39500045776367187500 ,51
0:2:0.23000000417232513428 ,50
0:2:1.07500004768371582031 ,51
0:2:1.92999994754791259766 ,51
0:2:2.79500007629394531250 ,51
0:2:3.66499996185302734375 ,48
0:2:4.50000000000000000000 ,47
0:2:5.32499980926513671875 ,47
0:2:6.14499998092651367188 ,47
0:2:6.95499992370605468750 ,47
0:2:7.75000000000000000000 ,47
0:2:8.53499984741210937500 ,47
0:2:9.32499027252197265625 ,47
0:2:10.11499977111816406250 ,48
0:2:10.92000007629394531250 ,48
0:2:11.72999000549316406250 ,48
0:2:12.53999996185302734375 ,48
0:2:13.35499000549316406250 ,49
0:2:14.18000030517578125000 ,49
0:2:15.00500011444091796875 ,49
0:2:15.84000015258789062500 ,48
0:2:16.65500068664550781250 ,47
0:2:17.46500015258789062500 ,49
0:2:18.27000045776367187500 ,49
0:2:19.06500053405761718750 ,47
0:2:19.87000083923339843750 ,49
0:2:20.64999961853027343750 ,49
0:2:21.44499969482421875000 ,49
0:2:22.26499938964843750000 ,49
0:2:23.09499931335449218750 ,49
0:2:23.93000030517578125000 ,48
0:2:24.75000000000000000000 ,48
0:2:25.55999946594238281250 ,48
0:2:26.36000061035156250000 ,48
0:2:27.15999984741210937500 ,48
0:2:27.97999000549316406250 ,45
0:2:28.79500007629394531250 ,44
0:2:29.56999969482421875000 ,42
0:2:30.31500053405761718750 ,44
0:2:31.07500076293945312500 ,42
