time,HR per minute
0:0:0.79,50
0:0:1.635,48
0:0:2.45,48
0:0:3.26,47
0:0:4.05,46
0:0:4.825,45
0:0:5.585,45
0:0:6.335,45
0:0:7.1,47
0:0:7.89,48
0:0:8.7,50
0:0:9.535,50
0:0:10.37,49
0:0:11.195,48
0:0:12.005,47
0:0:12.8,46
0:0:13.575,46
0:0:14.355,45
0:0:15.115,45
0:0:15.88,45
0:0:16.64,46
0:0:17.41,46
0:0:18.185,47
0:0:18.975,48
0:0:19.785,49
0:0:20.615,49
0:0:21.435,48
0:0:22.245,49
0:0:23.065,49
0:0:23.895,49
0:0:24.72,49
0:0:25.545,49
0:0:26.365,48
0:0:27.18,49
0:0:28.0,49
0:0:28.82,48
0:0:29.635,49
0:0:30.46,49
0:0:31.28,48
0:0:32.095,47
0:0:32.88,46
0:0:33.655,46
0:0:34.43,45
0:0:35.195,45
0:0:35.955,45
0:0:36.715,45
0:0:37.475,45
0:0:38.23,44
0:0:38.975,45
0:0:39.74,45
0:0:40.495,45
0:0:41.25,45
0:0:42.0,44
0:0:42.74,44
0:0:43.485,44
0:0:44.22,44
0:0:44.955,43
0:0:45.685,43
0:0:46.415,44
0:0:47.155,44
0:0:47.89,44
0:0:48.63,44
0:0:49.365,44
0:0:50.105,45
0:0:50.86,45
0:0:51.625,47
0:0:52.415,48
0:0:53.225,49
0:0:54.05,48
0:0:54.86,47
0:0:55.65,47
0:0:56.44,47
0:0:57.235,48
0:0:58.035,48
0:0:58.85,50
0:0:59.695,49
0:1:0.52,48
0:1:1.32,48
0:1:2.13,48
0:1:2.935,49
0:1:3.765,51
0:1:4.615,50
0:1:5.455,51
0:1:6.305,51
0:1:7.155,49
0:1:7.985,49
0:1:8.805,48
0:1:9.62,49
0:1:10.44,49
0:1:11.27,50
0:1:12.11,51
0:1:12.975,51
0:1:13.83,51
0:1:14.68,51
0:1:15.54,52
0:1:16.42,53
0:1:17.305,51
0:1:18.16,48
0:1:18.975,48
0:1:19.79,49
0:1:20.61,49
0:1:21.44,49
0:1:22.27,49
0:1:23.1,50
0:1:23.935,50
0:1:24.775,51
0:1:25.63,49
0:1:26.455,47
0:1:27.25,47
0:1:28.045,48
0:1:28.85,48
0:1:29.66,48
0:1:30.475,48
0:1:31.28,48
0:1:32.095,49
0:1:32.925,49
0:1:33.75,48
0:1:34.56,49
0:1:35.39,49
0:1:36.21,50
0:1:37.05,49
0:1:37.88,47
0:1:38.67,47
0:1:39.455,47
0:1:40.24,47
0:1:41.03,49
0:1:41.85,50
0:1:42.69,50
0:1:43.535,51
0:1:44.39,51
0:1:45.25,50
0:1:46.095,51
0:1:46.945,50
0:1:47.78,49
0:1:48.605,49
0:1:49.435,51
0:1:50.285,51
0:1:51.14,51
0:1:51.99,50
0:1:52.83,51
0:1:53.685,52
0:1:54.555,50
0:1:55.395,48
0:1:56.2,47
0:1:56.99,47
0:1:57.78,48
0:1:58.58,48
0:1:59.395,50
0:2:0.23,50
0:2:1.075,51
0:2:1.93,51
0:2:2.795,52
0:2:3.665,50
0:2:4.5,49
0:2:5.325,49
0:2:6.145,48
0:2:6.955,47
0:2:7.75,47
0:2:8.535,47
0:2:9.325,47
0:2:10.115,48
0:2:10.92,48
0:2:11.73,48
0:2:12.54,48
0:2:13.355,49
0:2:14.18,49
0:2:15.005,50
0:2:15.84,48
0:2:16.655,48
0:2:17.465,48
0:2:18.27,47
0:2:19.065,48
0:2:19.87,46
0:2:20.65,47
0:2:21.445,49
0:2:22.265,49
0:2:23.095,50
0:2:23.93,49
0:2:24.75,48
0:2:25.56,48
0:2:26.36,48
0:2:27.16,49
0:2:27.98,48
0:2:28.795,46
0:2:29.57,44
0:2:30.315,45
0:2:31.075,44
0:2:31.82,45
0:2:32.575,44
0:2:33.32,42
0:2:34.03,42
0:2:34.74,44
0:2:35.48,48
0:2:36.29,47
0:2:37.085,47
0:2:37.88,48
0:2:38.68,48
0:2:39.495,49
0:2:40.325,49
0:2:41.15,48
0:2:41.965,48
0:2:42.78,48
0:2:43.59,48
0:2:44.405,47
0:2:45.2,47
0:2:45.99,48
0:2:46.79,48
0:2:47.59,48
0:2:48.395,48
0:2:49.195,48
0:2:50.005,48
0:2:50.815,48
0:2:51.615,46
0:2:52.385,46
0:2:53.165,44
0:2:53.9,44
0:2:54.645,43
0:2:55.365,43
0:2:56.095,44
0:2:56.835,47
0:2:57.63,47
0:2:58.425,48
0:2:59.225,49
0:3:0.055,46
0:3:0.835,45
0:3:1.595,43
0:3:2.32,42
0:3:3.025,42
0:3:3.735,42
0:3:4.445,42
0:3:5.145,43
0:3:5.865,42
0:3:6.57,42
0:3:7.285,43
0:3:8.015,44
0:3:8.76,45
0:3:9.51,45
0:3:10.265,45
0:3:11.03,46
0:3:11.805,47
0:3:12.59,47
0:3:13.38,46
0:3:14.155,44
0:3:14.9,42
0:3:15.615,42
0:3:16.32,41
0:3:17.015,42
0:3:17.72,42
0:3:18.435,43
0:3:19.16,45
0:3:19.91,44
