time, interval
0:0:1.60500001907348632812 ,45
0:0:2.42499995231628417969 ,45
0:0:3.23000001907348632812 ,45
0:0:4.01999998092651367188 ,45
0:0:4.79500007629394531250 ,45
0:0:5.55499982833862304688 ,45
0:0:6.30499982833862304688 ,45
0:0:7.07000017166137695312 ,48
0:0:7.86499977111816406250 ,47
0:0:8.67000007629394531250 ,46
0:0:9.50500011444091796875 ,46
0:0:10.34000015258789062500 ,46
0:0:11.16499996185302734375 ,45
0:0:11.97999954223632812500 ,45
0:0:12.77000045776367187500 ,45
0:0:13.55000019073486328125 ,45
0:0:14.32999992370605468750 ,45
0:0:15.09000015258789062500 ,45
0:0:15.85000038146972656250 ,45
0:0:16.61499977111816406250 ,45
0:0:17.37999916076660156250 ,48
0:0:18.15500068664550781250 ,48
0:0:18.95000076293945312500 ,48
0:0:19.75499916076660156250 ,48
0:0:20.59000015258789062500 ,48
0:0:21.40500068664550781250 ,48
0:0:22.21500015258789062500 ,48
0:0:23.03499984741210937500 ,48
0:0:23.86499977111816406250 ,48
0:0:24.69000053405761718750 ,48
0:0:25.52000045776367187500 ,48
0:0:26.33499908447265625000 ,48
0:0:27.14999961853027343750 ,49
0:0:27.96999931335449218750 ,49
0:0:28.79000091552734375000 ,48
0:0:29.60499954223632812500 ,47
0:0:30.43000030517578125000 ,47
0:0:31.25000000000000000000 ,46
0:0:32.06499862670898437500 ,46
0:0:32.85499954223632812500 ,45
0:0:33.63000106811523437500 ,45
0:0:34.40499877929687500000 ,45
0:0:35.16500091552734375000 ,45
0:0:35.92499923706054687500 ,45
0:0:36.68999862670898437500 ,45
0:0:37.45000076293945312500 ,45
0:0:38.20000076293945312500 ,45
0:0:38.95000076293945312500 ,45
0:0:39.70999908447265625000 ,45
0:0:40.47000122070312500000 ,44
0:0:41.22000122070312500000 ,44
0:0:41.97000122070312500000 ,44
0:0:42.70999908447265625000 ,44
0:0:43.45500183105468750000 ,44
0:0:44.18999862670898437500 ,44
0:0:44.92499923706054687500 ,44
0:0:45.65999984741210937500 ,44
0:0:46.38999938964843750000 ,44
0:0:47.12500000000000000000 ,44
0:0:47.86000061035156250000 ,44
0:0:48.59999847412109375000 ,44
0:0:49.33499908447265625000 ,44
0:0:50.08000183105468750000 ,48
0:0:50.83000183105468750000 ,45
0:0:51.59500122070312500000 ,48
0:0:52.38499832153320312500 ,48
0:0:53.19499969482421875000 ,48
0:0:54.02000045776367187500 ,47
0:0:54.83000183105468750000 ,47
0:0:55.62500000000000000000 ,47
0:0:56.41500091552734375000 ,47
0:0:57.20500183105468750000 ,48
0:0:58.00500106811523437500 ,48
0:0:58.81999969482421875000 ,48
0:0:59.66500091552734375000 ,48
0:1:0.49000000953674316406 ,48
0:1:1.29499995708465576172 ,48
0:1:2.09999990463256835938 ,48
0:1:2.91000008583068847656 ,50
0:1:3.73499989509582519531 ,50
0:1:4.58500003814697265625 ,50
0:1:5.42999982833862304688 ,50
0:1:6.27500009536743164062 ,50
0:1:7.12500000000000000000 ,49
0:1:7.95499992370605468750 ,49
0:1:8.77499961853027343750 ,49
0:1:9.59500026702880859375 ,49
0:1:10.41499996185302734375 ,49
