time,HR per minute
0:0:0.76,50
0:0:1.605,49
0:0:2.425,48
0:0:3.23,47
0:0:4.02,46
0:0:4.795,45
0:0:5.555,45
0:0:6.305,45
0:0:7.07,47
0:0:7.865,48
0:0:8.67,50
0:0:9.505,50
0:0:10.34,49
0:0:11.165,48
0:0:11.98,47
0:0:12.77,46
0:0:13.55,46
0:0:14.33,45
0:0:15.09,45
0:0:15.85,45
0:0:16.615,45
0:0:17.38,46
0:0:18.155,47
0:0:18.95,48
0:0:19.755,50
0:0:20.59,48
0:0:21.405,48
0:0:22.215,49
0:0:23.035,49
0:0:23.865,49
0:0:24.69,49
0:0:25.52,48
0:0:26.335,48
0:0:27.15,49
0:0:27.97,49
0:0:28.79,48
0:0:29.605,49
0:0:30.43,49
0:0:31.25,48
0:0:32.065,47
0:0:32.855,46
0:0:33.63,46
0:0:34.405,45
0:0:35.165,45
0:0:35.925,45
0:0:36.69,45
0:0:37.45,45
0:0:38.2,45
0:0:38.95,45
0:0:39.71,45
0:0:40.47,45
0:0:41.22,45
0:0:41.97,44
0:0:42.71,44
0:0:43.455,44
0:0:44.19,44
0:0:44.925,44
0:0:45.66,43
0:0:46.39,44
0:0:47.125,44
0:0:47.86,44
0:0:48.6,44
0:0:49.335,44
0:0:50.08,45
0:0:50.83,45
0:0:51.595,47
0:0:52.385,48
0:0:53.195,49
0:0:54.02,48
0:0:54.83,47
0:0:55.625,47
0:0:56.415,47
0:0:57.205,48
0:0:58.005,48
0:0:58.82,50
0:0:59.665,49
0:1:0.49,48
0:1:1.295,48
0:1:2.1,48
0:1:2.91,49
0:1:3.735,51
0:1:4.585,50
0:1:5.43,50
0:1:6.275,51
0:1:7.125,49
0:1:7.955,49
0:1:8.775,49
0:1:9.595,49
0:1:10.415,49
0:1:11.24,50
0:1:12.08,51
0:1:12.945,51
0:1:13.8,51
0:1:14.65,51
0:1:15.51,52
0:1:16.39,53
0:1:17.275,51
0:1:18.13,49
0:1:18.95,48
0:1:19.765,48
0:1:20.58,49
0:1:21.41,49
0:1:22.24,49
0:1:23.07,50
0:1:23.905,50
0:1:24.745,51
0:1:25.6,49
0:1:26.425,48
0:1:27.225,47
0:1:28.015,48
0:1:28.82,48
0:1:29.63,48
0:1:30.445,48
0:1:31.255,48
0:1:32.065,49
0:1:32.895,49
0:1:33.72,48
0:1:34.535,49
0:1:35.36,49
0:1:36.185,50
0:1:37.02,49
0:1:37.85,47
0:1:38.645,46
0:1:39.425,47
0:1:40.21,47
0:1:41.0,49
0:1:41.82,50
0:1:42.66,50
0:1:43.505,51
0:1:44.36,51
0:1:45.22,50
0:1:46.065,51
0:1:46.915,50
0:1:47.755,49
0:1:48.575,49
0:1:49.405,51
0:1:50.255,51
0:1:51.11,51
0:1:51.96,50
0:1:52.8,51
0:1:53.655,52
0:1:54.525,50
0:1:55.365,48
0:1:56.175,47
0:1:56.965,47
0:1:57.75,48
0:1:58.55,48
0:1:59.365,50
0:2:0.2,50
0:2:1.045,51
0:2:1.9,52
0:2:2.77,51
0:2:3.635,50
0:2:4.47,49
0:2:5.295,49
0:2:6.115,48
0:2:6.925,47
0:2:7.72,47
0:2:8.51,47
0:2:9.295,47
0:2:10.085,48
0:2:10.89,48
0:2:11.7,48
0:2:12.51,48
0:2:13.325,49
0:2:14.15,49
0:2:14.975,50
0:2:15.81,48
0:2:16.625,48
0:2:17.44,48
0:2:18.24,47
0:2:19.035,48
0:2:19.84,46
0:2:20.62,48
0:2:21.42,48
0:2:22.235,49
0:2:23.065,50
0:2:23.9,49
0:2:24.725,48
0:2:25.53,48
0:2:26.33,48
0:2:27.13,49
0:2:27.95,48
0:2:28.765,46
0:2:29.545,44
0:2:30.29,45
0:2:31.045,45
0:2:31.795,45
0:2:32.545,44
0:2:33.29,42
0:2:34.0,42
0:2:34.71,44
0:2:35.45,48
0:2:36.265,47
0:2:37.06,47
0:2:37.85,48
0:2:38.65,49
0:2:39.47,49
0:2:40.295,49
0:2:41.12,48
0:2:41.935,48
0:2:42.75,48
0:2:43.565,48
0:2:44.37,48
0:2:45.17,47
0:2:45.96,48
0:2:46.765,48
0:2:47.565,48
0:2:48.365,48
0:2:49.165,48
0:2:49.98,48
0:2:50.79,47
0:2:51.585,46
0:2:52.355,46
0:2:53.135,44
0:2:53.87,44
0:2:54.615,43
0:2:55.34,43
0:2:56.07,44
0:2:56.81,47
0:2:57.6,48
0:2:58.4,48
0:2:59.2,49
0:3:0.025,46
0:3:0.805,45
0:3:1.565,43
0:3:2.29,42
0:3:2.995,42
0:3:3.71,42
0:3:4.415,42
0:3:5.12,42
0:3:5.835,42
0:3:6.54,42
0:3:7.255,43
0:3:7.985,45
0:3:8.735,44
0:3:9.48,45
0:3:10.24,45
0:3:11.0,46
0:3:11.78,47
0:3:12.565,47
0:3:13.355,46
0:3:14.13,44
0:3:14.87,42
0:3:15.585,42
0:3:16.29,42
0:3:16.99,42
0:3:17.695,42
0:3:18.405,43
0:3:19.13,45
0:3:19.88,44
0:3:20.625,45
0:3:21.385,46
0:3:22.16,46
0:3:22.93,44
0:3:23.675,45
0:3:24.425,44
0:3:25.17,44
0:3:25.91,44
0:3:26.655,45
0:3:27.405,44
0:3:28.15,44
0:3:28.89,44
0:3:29.625,43
0:3:30.355,43
0:3:31.085,44
0:3:31.825,45
0:3:32.585,46
0:3:33.355,46
0:3:34.125,45
0:3:34.88,43
0:3:35.61,42
0:3:36.325,42
0:3:37.035,42
0:3:37.75,45
0:3:38.5,48
0:3:39.3,48
0:3:40.115,48
0:3:40.93,48
0:3:41.74,46
0:3:42.515,45
0:3:43.265,45
0:3:44.02,44
0:3:44.765,46
0:3:45.535,45
0:3:46.295,45
0:3:47.055,44
0:3:47.795,44
0:3:48.535,44
0:3:49.27,43
0:3:49.99,42
0:3:50.695,42
0:3:51.395,41
0:3:52.08,40
0:3:52.755,40
0:3:53.43,39
0:3:54.09,41
0:3:54.78,41
0:3:55.465,40
0:3:56.14,42
0:3:56.85,41
0:3:57.535,40
0:3:58.215,80
0:3:59.56,39
