time, interval
0:0:55.63000106811523437500 ,47
0:0:56.41999816894531250000 ,47
0:0:57.20999908447265625000 ,49
0:0:58.00999832153320312500 ,49
0:0:58.83000183105468750000 ,49
0:0:59.67499923706054687500 ,48
0:1:0.49500000476837158203 ,48
0:1:1.29999995231628417969 ,48
0:1:2.10999989509582519531 ,48
0:1:2.91499996185302734375 ,50
0:1:3.74499988555908203125 ,50
0:1:4.59000015258789062500 ,50
0:1:5.44000005722045898438 ,49
0:1:6.28499984741210937500 ,50
0:1:7.13500022888183593750 ,49
0:1:7.96500015258789062500 ,50
0:1:8.78499984741210937500 ,51
0:1:9.60499954223632812500 ,51
0:1:10.42000007629394531250 ,51
0:1:11.25000000000000000000 ,51
0:1:12.09000015258789062500 ,51
0:1:12.95499992370605468750 ,51
0:1:13.81000041961669921875 ,51
0:1:14.65999984741210937500 ,51
0:1:15.52000045776367187500 ,52
0:1:16.39999961853027343750 ,52
0:1:17.28499984741210937500 ,48
0:1:18.13500022888183593750 ,48
0:1:18.95499992370605468750 ,48
0:1:19.77000045776367187500 ,48
0:1:20.58499908447265625000 ,49
0:1:21.42000007629394531250 ,49
0:1:22.25000000000000000000 ,49
0:1:23.07999992370605468750 ,50
0:1:23.91500091552734375000 ,50
0:1:24.75499916076660156250 ,50
0:1:25.61000061035156250000 ,47
0:1:26.43499946594238281250 ,47
0:1:27.22999954223632812500 ,47
0:1:28.02499961853027343750 ,48
0:1:28.82500076293945312500 ,48
0:1:29.63999938964843750000 ,48
0:1:30.45499992370605468750 ,48
0:1:31.26000022888183593750 ,48
0:1:32.07500076293945312500 ,49
0:1:32.90499877929687500000 ,49
0:1:33.72999954223632812500 ,49
0:1:34.54499816894531250000 ,49
0:1:35.36500167846679687500 ,49
0:1:36.18999862670898437500 ,49
0:1:37.02999877929687500000 ,47
0:1:37.85499954223632812500 ,47
0:1:38.65000152587890625000 ,47
0:1:39.43500137329101562500 ,47
0:1:40.22000122070312500000 ,47
0:1:41.00500106811523437500 ,50
0:1:41.83000183105468750000 ,49
0:1:42.66999816894531250000 ,50
0:1:43.51499938964843750000 ,49
0:1:44.36999893188476562500 ,49
0:1:45.22999954223632812500 ,49
0:1:46.07500076293945312500 ,50
0:1:46.92499923706054687500 ,49
0:1:47.75999832153320312500 ,49
0:1:48.58000183105468750000 ,49
0:1:49.40999984741210937500 ,51
0:1:50.26499938964843750000 ,51
0:1:51.11999893188476562500 ,50
0:1:51.97000122070312500000 ,48
0:1:52.81000137329101562500 ,47
0:1:53.66500091552734375000 ,47
0:1:54.52999877929687500000 ,47
0:1:55.37500000000000000000 ,47
0:1:56.18000030517578125000 ,47
0:1:56.97000122070312500000 ,47
0:1:57.75999832153320312500 ,52
0:1:58.56000137329101562500 ,48
0:1:59.37500000000000000000 ,50
0:2:0.20999999344348907471 ,50
0:2:1.05499994754791259766 ,49
0:2:1.90499997138977050781 ,49
0:2:2.77500009536743164062 ,49
0:2:3.64499998092651367188 ,48
0:2:4.48000001907348632812 ,47
0:2:5.30499982833862304688 ,47
0:2:6.12500000000000000000 ,47
0:2:6.93499994277954101562 ,47
0:2:7.73000001907348632812 ,47
0:2:8.51500034332275390625 ,47
0:2:9.30500030517578125000 ,47
0:2:10.09500026702880859375 ,48
0:2:10.89999961853027343750 ,48
0:2:11.71000003814697265625 ,48
